Name,Classification,Preferred Term,URL,Related Term,Category,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,A-Z,Age,Age,Age,Age,Age,Sex,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Season,,,,Snomed Code,Confidence,Notes,Done
Abdominal aortic aneurysm,A,Abdominal aortic aneurysm,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm/,AAA,Condition,Abdomen,,,,,,,,Blood vessels,,,,,,,,,,,,,,,,,,,checked,Adults,Older people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233985008,High,,Done
Abdominal aortic aneurysm - Treatment,A,Abdominal aortic aneurysm,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm/treatment/,,Treatment,Abdomen,,,,,,,,Blood vessels,,,,,,,,,,,,,,,,,,,,Adults,Older people,,,,,Endovascular surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240918000,Low,,Done
Abdominal aortic aneurysm screening,A,Abdominal aortic aneurysm screening,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm-screening/,AAA Screening,Screening,Abdomen,,,,,,,,Blood vessels,,,,,,,,,Screening,,,,,,,,,,checked,Older people,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698356002,High,,Done
Abdominal aortic aneurysm screening - FAQs,A,Abdominal aortic aneurysm screening,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm-screening/faqs/,,FAQs,Abdomen,,,,,,,,Blood vessels,,,,,,,,,,,,,,,,,,,,,,,,,,Frequently asked questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,Done
Abortion,A,Abortion,https://www.nhs.uk/conditions/abortion/,Pregnancy termination,Treatment,,,,,,,,,Foetus,Uterus,,,,,,,,,,,,,,,,,,checked,Adults,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386639001,High,,Done
Abortion - What happens,A,Abortion,https://www.nhs.uk/conditions/abortion/what-happens/,,Treatment,,,,,,,,,Foetus,Uterus,,,,,,,,,,,,,,,,,,,Adults,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285409006,High,There are at least half a dozen Snomed IDs for this entry because there are many different types of procedure that can be carried out. ,Done
Abortion - Risks,A,Abortion,https://www.nhs.uk/conditions/abortion/risks/,,Treatment,,,,,,,,,Foetus,Uterus,,,,,,,,,,,,,,,,,,,Adults,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,There are Snomed codes that go with this but it's unclear which ones to pick.  Registered as low due to lack of confidence on what one to pick,Done
Abscess,A,Abscess,https://www.nhs.uk/conditions/abscess/,,Condition,Skin,Buttocks,,,,,,,Vagina,Brain,Throat,Spinal cord,,,,,,Infections Illnesses & Diseases,,,,,,,,,,checked,All,,,,,,Pus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128477000,High,,Done
Abscess - Symptoms,A,Abscess,https://www.nhs.uk/conditions/abscess/symptoms/,,Symptom,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Abscess - Causes,A,Abscess,https://www.nhs.uk/conditions/abscess/causes/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,staphylococcal, Panton-Valentine leukocidin (PVL), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Abscess - Diagnosis,A,Abscess,https://www.nhs.uk/conditions/abscess/diagnosis/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258497007,Low,,Done
Abscess - Treatment,A,Abscess,https://www.nhs.uk/conditions/abscess/treatment/,,Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,decolonisation, percutaneous abscess drainage, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118442004,Low,,Done
Acanthosis nigricans,A,Acanthosis nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/,,Condition,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402599005,High,,Done
Achalasia,A,Achalasia,https://www.nhs.uk/conditions/achalasia/,,Condition,,,,,,,,,oesophagus,,,,,,,,,,,,,,,,,,,checked,All,,,,,,Manometry, Barium swallow, Heller's myotomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715192004,Low,Not sure if that's the correct snomed code as there's more than one.,Done
